Conductor_Copper_loss,Dielectric_Air_loss,epoch,initial_phi_port_port1_loss,initial_phi_port_port2_loss,mean_loss,step
1.4482739092380794e+24,2.541508027953971e+16,0,71598571520.0,295330971648.0,3.6206847730951986e+23,0
1.4480779125822963e+24,2.5419338739613696e+16,1,72321728512.0,295304495104.0,3.620194781455741e+23,1
1.447963485122964e+24,2.536287495205683e+16,2,71603404800.0,295304134656.0,3.61990871280741e+23,2
1.4478788895075635e+24,2.5356387403956224e+16,3,71603470336.0,295303806976.0,3.619697223768909e+23,3
1.4478262874639158e+24,2.5354184085733376e+16,4,71603437568.0,295303249920.0,3.6195657186597896e+23,4
1.4477759912632774e+24,2.5352350134697984e+16,5,71603470336.0,295302660096.0,3.6194399781581934e+23,5
1.4477327567068546e+24,2.5349921330692096e+16,6,71603486720.0,295301971968.0,3.6193318917671365e+23,6
1.4476875045377988e+24,2.534771371750195e+16,7,71603511296.0,295301152768.0,3.619218761344497e+23,7
1.4476483052066422e+24,2.5346786004566016e+16,8,71603486720.0,295300202496.0,3.6191207630166054e+23,8
1.4476027648072102e+24,2.5345873324015616e+16,9,71603535872.0,295299121152.0,3.6190069120180255e+23,9
1.4475694741987647e+24,2.534480817212621e+16,10,71603568640.0,295297744896.0,3.6189236854969116e+23,10
1.4475317160194888e+24,2.5343532566839296e+16,11,71603585024.0,295296466944.0,3.618829290048722e+23,11
1.4474966960287864e+24,2.53425619042304e+16,12,71603625984.0,295294763008.0,3.618741740071966e+23,12
1.447452308550859e+24,2.534160412652339e+16,13,71603625984.0,295292993536.0,3.6186307713771475e+23,13
1.4474128209893262e+24,2.534073439564595e+16,14,71603675136.0,295290961920.0,3.6185320524733155e+23,14
1.4473795303808807e+24,2.534005793829683e+16,15,71603707904.0,295288668160.0,3.618448825952202e+23,15
1.4473485456154444e+24,2.533943731552256e+16,16,71603757056.0,295286210560.0,3.618371364038611e+23,16
1.447321451960086e+24,2.533886823235584e+16,17,71603806208.0,295283425280.0,3.618303629900215e+23,17
1.447285134932691e+24,2.533839793343693e+16,18,71603871744.0,295280312320.0,3.6182128373317275e+23,18
1.4472465120622867e+24,2.533792333955072e+16,19,71603904512.0,295276969984.0,3.6181162801557167e+23,19
1.4472061598096254e+24,2.5337337076514816e+16,20,71603986432.0,295273234432.0,3.6180153995240636e+23,20
1.4471613399861338e+24,2.533592832724173e+16,21,71604043776.0,295269302272.0,3.6179033499653346e+23,21
1.4471227171157295e+24,2.533501135172403e+16,22,71604109312.0,295264813056.0,3.617806792789324e+23,22
1.4470787619833664e+24,2.533391613506355e+16,23,71604174848.0,295260061696.0,3.617696904958416e+23,23
1.447032501007994e+24,2.533301419193139e+16,24,71604224000.0,295254818816.0,3.617581252519985e+23,24
1.4469875370693144e+24,2.53324150439936e+16,25,71604371456.0,295249117184.0,3.617468842673286e+23,25
1.446939402596497e+24,2.5331775093866496e+16,26,71604387840.0,295243022336.0,3.6173485064912425e+23,26
1.446887953474354e+24,2.533111366890291e+16,27,71604510720.0,295236435968.0,3.617219883685885e+23,27
1.4468353514307062e+24,2.533043935903744e+16,28,71604641792.0,295229227008.0,3.6170883785767656e+23,28
1.446777849470664e+24,2.532971136208077e+16,29,71604756480.0,295221559296.0,3.61694462367666e+23,29
1.4467166005157317e+24,2.5329015577378816e+16,30,71604895744.0,295213268992.0,3.6167915012893294e+23,30
1.4466497310684645e+24,2.532825107320013e+16,31,71605059584.0,295204225024.0,3.6166243276711614e+23,31
1.4465760882073578e+24,2.532741355457741e+16,32,71605264384.0,295194853376.0,3.6164402205183945e+23,32
1.4465047511892602e+24,2.5326483694157824e+16,33,71605395456.0,295184662528.0,3.6162618779731506e+23,33
1.44642837013958e+24,2.532544860703949e+16,34,71605608448.0,295173750784.0,3.61607092534895e+23,34
1.446346800943129e+24,2.5324261048582144e+16,35,71605813248.0,295162052608.0,3.615867002357823e+23,35
1.446260908291036e+24,2.5323002623164416e+16,36,71605993472.0,295149699072.0,3.61565227072759e+23,36
1.4461672334187866e+24,2.5321596021374976e+16,37,71606214656.0,295136526336.0,3.6154180835469665e+23,37
1.4460670733630739e+24,2.53200133259264e+16,38,71606468608.0,295122403328.0,3.6151676834076847e+23,38
1.445960860469462e+24,2.5318205144694784e+16,39,71606763520.0,295107559424.0,3.614902151173655e+23,39
1.4458504682353958e+24,2.531622301728768e+16,40,71607033856.0,295091634176.0,3.6146261705884896e+23,40
1.4457379142735086e+24,2.5315048343732224e+16,41,71607320576.0,295074791424.0,3.6143447856837715e+23,41
1.4456182986674056e+24,2.5313813540634624e+16,42,71607672832.0,295056998400.0,3.614045746668514e+23,42
1.4454926302234035e+24,2.531252075547853e+16,43,71608016896.0,295038124032.0,3.613731575558509e+23,43
1.4453594677896214e+24,2.5311161398329344e+16,44,71608369152.0,295018168320.0,3.6133986694740535e+23,44
1.4452192437116236e+24,2.5309733321703424e+16,45,71608770560.0,294997131264.0,3.613048109279059e+23,45
